Timestamp,Title of your ticket,Write your ticket,Your ticket is about:
2025/10/10 6:04:48 pm EEST,Phone Request,john here i need a new phone my old nokia 3310 is getting too old can i get a windows phone instead,Purchase requisition
2025/10/10 6:14:05 pm EEST,Printer scan ,How do i scan a docment to my pc ? ,Software issue
2025/10/10 6:17:43 pm EEST,Login ,"What's my username and password? It's my first day here. Employee ID: 0012B5842. Best regards, Xandress.",Software issue
2025/10/10 6:19:28 pm EEST,Lockt out,"Well, I'm locked out of my account due to too many password attempts. Best regards, Xandress",Software issue
2025/10/10 6:21:02 pm EEST,Car,"Can I get a company car? Best regards, Xandress",Purchase requisition
2025/10/10 6:28:04 pm EEST,Windows xp,Its 2025 why is this comany still using windows xp? ,Software issue
2025/10/12 2:24:51 pm EEST,Unintended visibility of employee information,"While reviewing data on our internal HR portal, I noticed that information related to other employees appears under my account view.",Privacy issue
2025/10/12 2:25:52 pm EEST,Authentication not recognized,"When attempting to access the company dashboard, my credentials are repeatedly declined despite multiple verifications. Could you please verify if there have been recent changes in authentication policy or user registration?",Software issue
2025/10/12 2:26:27 pm EEST,Request for upgraded display equipment,"Due to ongoing visual strain while working on design-related tasks, I would like to request a higher-resolution monitor compatible with my current workstation.",Purchase requisition
2025/10/12 2:26:59 pm EEST,Shared document permissions appear overly broad,A number of shared documents within our department are accessible to employees outside the intended workgroup.,Privacy issue
2025/10/12 2:27:32 pm EEST,Application performance degradation post-update,"Following the most recent update, the financial management software has experienced severe performance drops, including prolonged loading times and unresponsive menus.",Software issue
2025/10/12 2:28:02 pm EEST,Replacement of malfunctioning input device,"My current keyboard intermittently fails to register keystrokes, significantly slowing down report preparation. I would appreciate a replacement when feasible.",Software issue
2025/10/12 2:28:36 pm EEST,Persistent connection instability when using VPN,"While working remotely, my VPN connection frequently disconnects, interrupting access to essential resources",Purchase requisition
2025/10/12 2:29:08 pm EEST,Request for updated design software license,"The current license for my design application appears to have expired, preventing file export and collaboration. Kindly initiate the renewal process or assign an active license.",Software issue
2025/10/12 2:30:00 pm EEST,System not saving my recent work,"I’ve noticed that the system occasionally fails to save my recent updates, even though no error message appears. Could you please look into this issue?",Software issue
2025/10/12 6:46:16 pm EEST,printer,how do print som ting on the printers here?,Software issue
2025/10/12 6:49:00 pm EEST,login,can you reset my pasword ? my users name is dumy123 kind thanks in advantd dumy,Software issue
,Application Error,Our accounting software keeps crashing. Investigate and resolve the issue as it's affecting our daily operations.,Software issue
,Printer Malfunction,Users are reporting difficulties logging into the CRM system. Please investigate and restore access.,Software issue
,,"The network appears to be slow, causing delays in accessing applications. Identify and address the performance bottleneck.",Software issue
,Laptop Won't Boot,Data is missing from the database. Perform a data recovery and investigate the cause of the data loss.,Software issue
,Software Update Problems,Requesting an update to the project management software to fix bugs and improve functionality.,Software issue
,Monitor Display Issue,Our email client is not syncing properly with our mail server. Resolve the synchronization problem.,Software issue
,Slow Network Connection,The license key for our antivirus software is expiring soon. Please renew it to ensure system security.,Software issue
,Keyboard Not Responding,The printer driver needs updating as it's not working with the latest operating system. Update the driver for compatibility.,Software issue
,New Laptops Needed,We need to purchase five new laptops for the marketing team. Please provide quotes and specifications.,Purchase requisition
,Printer Replacement,Our office printer is malfunctioning. We require a new one. Please advise on suitable models and pricing.,Purchase requisition
,Software License Renewal,The license for our project management software is expiring soon. We need to renew it for another year.,Purchase requisition
,Request for Monitor Upgrade,The design team needs upgraded monitors with higher resolution. Please provide options and costs.,Purchase requisition
,Network Cable Installation,We require the installation of network cables in the new office area. Please estimate the length and cost.,Purchase requisition
,External Hard Drive Purchase,We need to buy external hard drives for data backups. Suggest reliable brands and pricing.,Purchase requisition
,Cloud Storage Subscription,We're running out of cloud storage space. Please renew our subscription and expand the capacity.,Purchase requisition
,UPS Replacement,Our uninterruptible power supply (UPS) unit is failing. We need a new one to protect our servers.,Purchase requisition
,IT Training Request,Requesting training sessions for our team to enhance their IT skills. Provide course details and pricing.,Purchase requisition
,Firewall Upgrade,Our current firewall is outdated. Please recommend and quote for a more secure solution.,Purchase requisition
,Data Breach Report,We suspect a data breach incident. Please investigate and take immediate action to secure sensitive information.,Privacy issue
,,An employee has raised concerns about their personal data privacy. Please review our privacy policies and address their issues.,Privacy issue
,Access Control Review,Conduct a review of user access permissions to ensure data privacy compliance. Identify and rectify any unauthorized access.,Privacy issue
,Privacy Training Request,We need to organize privacy awareness training for our employees to comply with data protection regulations.,Privacy issue
,GDPR Compliance Audit,We require a comprehensive audit to ensure compliance with the General Data Protection Regulation (GDPR).,Privacy issue
,Customer Data Deletion Request,,Privacy issue
,Privacy Policy Update,Our privacy policy needs to be updated to reflect recent changes in data privacy regulations. Please make necessary revisions.,Privacy issue
,Vendor Data Handling Assessment,Assess how our vendors handle our data and ensure they meet our privacy and security standards.,Privacy issue
,Privacy Impact Assessment,Conduct a Privacy Impact Assessment (PIA) for a new project to identify and mitigate privacy risks.,Privacy issue
,Incident Response Plan Review,Review and update our privacy incident response plan to address any gaps in handling data privacy breaches.,Privacy issue
